Left Image Set;Right Image Set;Stimulus;Item;model_id;Response;Correct response;Correct
MC_p010_2_horizontal_left.png;MC_p010_2_horizontal_right.png;stim_p010_2_1_horizontal.png;10;Gemini;A;A;1
MC_p010_3_horizontal_left.png;MC_p010_3_horizontal_right.png;stim_p010_3_3_horizontal.png;10;Gemini;A;Neither;0
MC_p010_3_none_left.png;MC_p010_3_none_right.png;stim_p010_3_3_none.png;10;Gemini;A;Neither;0
MC_p010_6_vertical_left.png;MC_p010_6_vertical_right.png;stim_p010_6_2_vertical.png;10;Gemini;A;B;0
MC_p010_8_horizontal_left.png;MC_p010_8_horizontal_right.png;stim_p010_8_3_horizontal.png;10;Gemini;A;Neither;0
MC_p010_8_vertical_left.png;MC_p010_8_vertical_right.png;stim_p010_8_3_vertical.png;10;Gemini;A;Neither;0
MC_p023_3_vertical_left.png;MC_p023_3_vertical_right.png;stim_p023_3_2_vertical.png;23;Gemini;A;B;0
MC_p025_2_none_left.png;MC_p025_2_none_right.png;stim_p025_2_3_none.png;25;Gemini;A;Neither;0
MC_p025_2_vertical_left.png;MC_p025_2_vertical_right.png;stim_p025_2_3_vertical.png;25;Gemini;A;Neither;0
MC_p025_3_horizontal_left.png;MC_p025_3_horizontal_right.png;stim_p025_3_3_horizontal.png;25;Gemini;A;Neither;0
MC_p025_3_none_left.png;MC_p025_3_none_right.png;stim_p025_3_3_none.png;25;Gemini;A;Neither;0
MC_p025_3_vertical_left.png;MC_p025_3_vertical_right.png;stim_p025_3_1_vertical.png;25;Gemini;A;A;1
MC_p025_3_vertical_left.png;MC_p025_3_vertical_right.png;stim_p025_3_3_vertical.png;25;Gemini;A;Neither;0
MC_p025_4_none_left.png;MC_p025_4_none_right.png;stim_p025_4_3_none.png;25;Gemini;A;Neither;0
MC_p025_5_vertical_left.png;MC_p025_5_vertical_right.png;stim_p025_5_3_vertical.png;25;Gemini;A;Neither;0
MC_p025_6_horizontal_left.png;MC_p025_6_horizontal_right.png;stim_p025_6_3_horizontal.png;25;Gemini;A;Neither;0
MC_p025_6_none_left.png;MC_p025_6_none_right.png;stim_p025_6_1_none.png;25;Gemini;A;A;1
MC_p025_6_vertical_left.png;MC_p025_6_vertical_right.png;stim_p025_6_1_vertical.png;25;Gemini;A;A;1
MC_p025_7_vertical_left.png;MC_p025_7_vertical_right.png;stim_p025_7_1_vertical.png;25;Gemini;A;A;1
MC_p025_8_none_left.png;MC_p025_8_none_right.png;stim_p025_8_3_none.png;25;Gemini;A;Neither;0
MC_p025_8_vertical_left.png;MC_p025_8_vertical_right.png;stim_p025_8_1_vertical.png;25;Gemini;A;A;1
MC_p025_8_vertical_left.png;MC_p025_8_vertical_right.png;stim_p025_8_3_vertical.png;25;Gemini;A;Neither;0
MC_p02_2_vertical_left.png;MC_p02_2_vertical_right.png;stim_p02_2_3_vertical.png;2;Gemini;A;Neither;0
MC_p02_3_vertical_left.png;MC_p02_3_vertical_right.png;stim_p02_3_3_vertical.png;2;Gemini;A;Neither;0
MC_p02_4_horizontal_left.png;MC_p02_4_horizontal_right.png;stim_p02_4_2_horizontal.png;2;Gemini;A;B;0
MC_p02_4_none_left.png;MC_p02_4_none_right.png;stim_p02_4_2_none.png;2;Gemini;A;B;0
MC_p02_4_vertical_left.png;MC_p02_4_vertical_right.png;stim_p02_4_2_vertical.png;2;Gemini;A;B;0
MC_p02_5_vertical_left.png;MC_p02_5_vertical_right.png;stim_p02_5_3_vertical.png;2;Gemini;A;Neither;0
MC_p02_6_none_left.png;MC_p02_6_none_right.png;stim_p02_6_2_none.png;2;Gemini;A;B;0
MC_p02_6_vertical_left.png;MC_p02_6_vertical_right.png;stim_p02_6_1_vertical.png;2;Gemini;A;A;1
MC_p02_6_vertical_left.png;MC_p02_6_vertical_right.png;stim_p02_6_2_vertical.png;2;Gemini;A;B;0
MC_p02_6_vertical_left.png;MC_p02_6_vertical_right.png;stim_p02_6_3_vertical.png;2;Gemini;A;Neither;0
MC_p02_7_horizontal_left.png;MC_p02_7_horizontal_right.png;stim_p02_7_2_horizontal.png;2;Gemini;A;B;0
MC_p02_8_vertical_left.png;MC_p02_8_vertical_right.png;stim_p02_8_3_vertical.png;2;Gemini;A;Neither;0
